2019-06-07 15:04:21	?	http://192.168.12.3:8888/development/projects/email-inspiration/wire/templates-admin/scripts/main.js	Fatal Error: 	Class 'ProcessWire\InputfieldSelectMultiple' not found (line 9 of /Volumes/ArtDeptSC/ArtDept/MAMP/htdocs/development/projects/email-inspiration/wire/modules/Inputfield/InputfieldAsmSelect/InputfieldAsmSelect.module)
2019-06-07 15:04:21	?	http://192.168.12.3:8888/development/projects/email-inspiration/wire/templates-admin/styles/font-awesome/css/font-awesome.min.css	Fatal Error: 	Class 'ProcessWire\InputfieldSelectMultiple' not found (line 9 of /Volumes/ArtDeptSC/ArtDept/MAMP/htdocs/development/projects/email-inspiration/wire/modules/Inputfield/InputfieldAsmSelect/InputfieldAsmSelect.module)
2019-06-07 15:04:21	?	http://192.168.12.3:8888/development/projects/email-inspiration/wire/modules/jquery/jqueryui/jqueryui.js	Fatal Error: 	Class 'ProcessWire\InputfieldSelectMultiple' not found (line 9 of /Volumes/ArtDeptSC/ArtDept/MAMP/htdocs/development/projects/email-inspiration/wire/modules/Inputfield/InputfieldAsmSelect/InputfieldAsmSelect.module)
2019-06-07 15:04:21	?	http://192.168.12.3:8888/development/projects/email-inspiration/wire/modules/jquery/jquerycore/jquerycore.js	Fatal Error: 	Class 'ProcessWire\InputfieldSelectMultiple' not found (line 9 of /Volumes/ArtDeptSC/ArtDept/MAMP/htdocs/development/projects/email-inspiration/wire/modules/Inputfield/InputfieldAsmSelect/InputfieldAsmSelect.module)
2019-06-07 15:04:21	?	http://192.168.12.3:8888/development/projects/email-inspiration/wire/templates-admin/scripts/inputfields.js	Fatal Error: 	Class 'ProcessWire\InputfieldSelectMultiple' not found (line 9 of /Volumes/ArtDeptSC/ArtDept/MAMP/htdocs/development/projects/email-inspiration/wire/modules/Inputfield/InputfieldAsmSelect/InputfieldAsmSelect.module)
2019-06-07 15:04:21	?	http://192.168.12.3:8888/development/projects/email-inspiration/wire/templates-admin/styles/admintheme.css	Fatal Error: 	Class 'ProcessWire\InputfieldSelectMultiple' not found (line 9 of /Volumes/ArtDeptSC/ArtDept/MAMP/htdocs/development/projects/email-inspiration/wire/modules/Inputfield/InputfieldAsmSelect/InputfieldAsmSelect.module)
2019-06-07 15:04:21	?	http://192.168.12.3:8888/development/projects/email-inspiration/wire/modules/jquery/jqueryui/jqueryui.js	Fatal Error: 	Class 'ProcessWire\InputfieldSelectMultiple' not found (line 9 of /Volumes/ArtDeptSC/ArtDept/MAMP/htdocs/development/projects/email-inspiration/wire/modules/Inputfield/InputfieldAsmSelect/InputfieldAsmSelect.module)
2019-06-07 15:04:21	?	http://192.168.12.3:8888/development/projects/email-inspiration/wire/templates-admin/scripts/inputfields.js	Fatal Error: 	Class 'ProcessWire\InputfieldSelectMultiple' not found (line 9 of /Volumes/ArtDeptSC/ArtDept/MAMP/htdocs/development/projects/email-inspiration/wire/modules/Inputfield/InputfieldAsmSelect/InputfieldAsmSelect.module)
2019-06-07 15:04:21	?	http://192.168.12.3:8888/development/projects/email-inspiration/wire/templates-admin/scripts/main.js	Fatal Error: 	Class 'ProcessWire\InputfieldSelectMultiple' not found (line 9 of /Volumes/ArtDeptSC/ArtDept/MAMP/htdocs/development/projects/email-inspiration/wire/modules/Inputfield/InputfieldAsmSelect/InputfieldAsmSelect.module)
2019-06-07 15:05:25	guest	http://192.168.12.3:8888/development/projects/email-inspiration/install.php	Fatal Error: 	Uncaught Error: Call to a member function execute() on null in /Volumes/ArtDeptSC/ArtDept/MAMP/htdocs/development/projects/email-inspiration/index.php:55 Stack trace: #0 /Volumes/ArtDeptSC/ArtDept/MAMP/htdocs/development/projects/email-inspiration/install.php(118): require() #1 /Volumes/ArtDeptSC/ArtDept/MAMP/htdocs/development/projects/email-inspiration/install.php(1589): ProcessWire\Installer->execute() #2 {main}   thrown (line 55 of /Volumes/ArtDeptSC/ArtDept/MAMP/htdocs/development/projects/email-inspiration/index.php)
2019-06-07 15:05:25	guest	http://192.168.12.3:8888/development/projects/email-inspiration/wire/templates-admin/styles/admintheme.css	Fatal Error: 	Uncaught Error: Call to a member function execute() on null in /Volumes/ArtDeptSC/ArtDept/MAMP/htdocs/development/projects/email-inspiration/index.php:55 Stack trace: #0 {main}   thrown (line 55 of /Volumes/ArtDeptSC/ArtDept/MAMP/htdocs/development/projects/email-inspiration/index.php)
2019-06-07 15:05:25	guest	http://192.168.12.3:8888/development/projects/email-inspiration/wire/templates-admin/scripts/main.js	Fatal Error: 	Uncaught Error: Call to a member function execute() on null in /Volumes/ArtDeptSC/ArtDept/MAMP/htdocs/development/projects/email-inspiration/index.php:55 Stack trace: #0 {main}   thrown (line 55 of /Volumes/ArtDeptSC/ArtDept/MAMP/htdocs/development/projects/email-inspiration/index.php)
